sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL,class
repeat5,S,202742,71,1806,17,10,5,890.78730603427,9.41306755260244,5.53709856035437,2.76854928017719,17.718715393134,8.38504108670132,4.93237710982431,2.46618855491215,15.7836067514378,Lunarscript
repeat5,ORF3a,202742,84|85,4279,1,1,5,2110.56416529382,0.481231953801732,0.481231953801732,2.27169468423444,3.2341585918379,0.493237710982431,0.493237710982431,2.46618855491215,3.45266397687702,Lunarscript
repeat5,E,202742,87,2125,9,5,103,1048.13013583767,4.23529411764706,2.35294117647059,48.4705882352941,55.0588235294118,4.43913939884188,2.46618855491215,50.8034842311904,57.7088121849444,Lunarscript
repeat5,M,202742,87,2125,81,27,4,1048.13013583767,38.1176470588235,12.7058823529412,1.88235294117647,52.7058823529412,39.9522545895769,13.3174181965256,1.97295084392972,55.2426236300322,Lunarscript
repeat5,ORF6,202742,89|90,6374,28,15,0,3143.89716980201,7.06426094081341,3.53356890459364,0,10.5978298454071,13.8106559075081,7.39856566473646,0,21.2092215722445,Lunarscript
repeat5,ORF7a,202742,90|91,3115,2,2,0,1536.43546971027,2.02839756592292,1.48390286938701,0,3.51230043530993,0.986475421964862,0.986475421964862,0,1.97295084392972,Lunarscript
repeat5,ORF8,202742,92,1319,0,0,2,650.580540785826,0,0,1.51630022744503,1.51630022744503,0,0,0.986475421964862,0.986475421964862,Lunarscript
repeat5,N,202742,93|94,4116,84,41,7,2030.16641840369,33.9119903108599,16.7586949416018,2.82599919257166,53.4966844450334,41.4319677225242,20.2227461502797,3.45266397687702,65.1073778496809,Lunarscript
repeat5,N*,202742,,0,0,0,0,0,0,0,0,0,0,0,0,0,Lunarscript
repeat5,ORF10,202742,97|98,2302,0,0,10,1135.43321068156,0,0,10.3767624407235,10.3767624407235,0,0,4.93237710982431,4.93237710982431,Lunarscript
repeat6,ORF1a,169480,1|2,2159,1023,450,42,1273.8966249705,14812.0726717981,6521.73913043478,608.695652173913,21942.5074544068,603.611045551098,265.518055227755,24.7816851545905,893.910785933443,Lunarscript
repeat6,S,169480,71,1258,17,2,1,742.270474392259,13.5135135135135,1.58982511923688,0.794912559618442,15.8982511923688,10.0306820863819,1.18008024545669,0.590040122728345,11.8008024545669,Lunarscript
repeat6,ORF3a,169480,84,2089,0,0,2,1232.59381637951,0,0,0.957395883197702,0.957395883197702,0,0,1.18008024545669,1.18008024545669,Lunarscript
repeat6,E,169480,87,1568,9,4,100,925.182912438046,5.73979591836735,2.55102040816327,63.7755102040816,72.0663265306122,5.31036110455511,2.36016049091338,59.0040122728346,66.674533868303,Lunarscript
repeat6,M,169480,87,1568,59,22,0,925.182912438046,37.6275510204082,14.030612244898,0,51.6581632653061,34.8123672409724,12.9808827000236,0,47.793249940996,Lunarscript
repeat6,ORF6,169480,89|90,4961,24,11,2,2927.18904885532,8.72445900216331,3.68509212730318,0.670016750418761,13.0795678798853,14.1609629454803,6.4904413500118,1.18008024545669,21.8314845409488,Lunarscript
repeat6,ORF7a,169480,91,589,4,1,1,347.533632286995,6.7911714770798,1.69779286926995,1.69779286926995,10.1867572156197,2.36016049091338,0.590040122728345,0.590040122728345,3.54024073637007,Lunarscript
repeat6,ORF8,169480,93,1917,1,0,0,1131.10691527024,0.521648408972353,0,0,0.521648408972353,0.590040122728345,0,0,0.590040122728345,Lunarscript
repeat6,N,169480,93|94,3042,70,26,8,1794.90205333963,37.6171100678143,13.5628586332812,4.17318727177882,55.3531559728743,41.3028085909842,15.341043190937,4.72032098182676,61.3641727637479,Lunarscript
repeat6,N*,169480,96,2225,0,1,0,1312.83927307057,0,0.449438202247191,0,0.449438202247191,0,0.590040122728345,0,0.590040122728345,Lunarscript
repeat6,ORF10,169480,98,431,0,0,8,254.307292895917,0,0,18.5614849187935,18.5614849187935,0,0,4.72032098182676,4.72032098182676,Lunarscript
