# Supplemental File S1 - Sheffield Nanopore Canonical ORF Sub-Genomic RNA Counts
# Canonical ORF counts for the Sheffield Nanopore dataset from clinical SARS-CoV-2 samples
# mapped_reads: Total mapped reads
# amplicons: The amplicon(s) that gave rise to the sub-genomic RNA
# gRNA_count: The number of genomic reads at this ORF
# sgRNA_HQ_count: The number of high quality reads supporting sub-genomic RNA at this ORF
# sgRNA_LQ_count: The number of low quality reads supporting sub-genomic RNA at this ORF
# sgRNA_LLQ_count: The number of low low quality reads supporting sub-genomic RNA at this ORF
# gRHPT: Genomic reads per hundred thousand mapped reads
# sgRPTg_HQ: High quality sub-genomic reads per thousand genomic
# sgRPTg_LQ: Low quality sub-genomic reads per thousand genomic
# sgRPTg_LLQ: Low low quality sub-genomic reads per thousand genomic
# sgRPTg_ALL: All sub-genomic reads per thousand genomic
# sgRPHT_HQ: High quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_LQ: Low quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_LLQ: Low low quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_All: All sub-genomic reads per hundred thousand mapped reads
sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-BFDBE,ORF6,607986,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFDBE,ORF7a,607986,90,7469,0,0,22,1228.482235,0,0,2.9455081,2.9455081,0,0,3.618504373,3.618504373
SHEF-BFDBE,ORF8,607986,92,8929,0,0,5,1468.619343,0,0,0.559973121,0.559973121,0,0,0.822387358,0.822387358
SHEF-BFDBE,N,607986,93,16591,655,241,42,2728.84573,39.47923573,14.5259478,2.531492978,56.53667651,107.7327438,39.63907064,6.908053804,154.2798683
SHEF-BFDBE,N*,607986,95,1289,0,0,2,212.0114608,0,0,1.55159038,1.55159038,0,0,0.328954943,0.328954943
SHEF-BFDBE,ORF10,607986,97|98,8323,0,0,17,1368.945995,0,0,9.983393291,9.983393291,0,0,2.796117016,2.796117016
SHEF-BFDCD,ORF1a,488676,1|2,8943,1317,422,29,1830.046902,19507.77115,6112.866384,375.5631265,25996.20066,269.5037203,86.35578584,5.934402344,361.7939084
SHEF-BFDCD,S,488676,71|72,8864,73,40,4,1813.880772,62.90257691,34.61584542,3.616636528,101.1350589,14.93832314,8.185382544,0.818538254,23.94224394
SHEF-BFDCD,ORF3a,488676,84|85,6774,9,0,2,1386.194534,5.401547459,0,0.317057705,5.718605164,1.841711072,0,0.409269127,2.2509802
SHEF-BFDCD,E,488676,87,6955,71,25,203,1423.23339,10.20848311,3.594536305,29.1876348,42.99065421,14.52905402,5.11586409,41.54081641,61.18573452
SHEF-BFDCD,M,488676,87|88,14532,641,222,27,2973.749478,92.12850157,31.91948239,3.882099209,127.9300832,131.1707553,45.42887312,5.525133217,182.1247616
SHEF-BFDCD,ORF6,488676,89|90,4345,71,23,2,889.1371788,769.1482485,265.8749261,14.9396911,1049.962866,14.52905402,4.706594963,0.409269127,19.64491811
SHEF-BFDCD,ORF7a,488676,90|91,4767,2,0,1,975.4929647,2.274625071,0,2.040816327,4.315441398,0.409269127,0,0.204634564,0.613903691
SHEF-BFDCD,ORF8,488676,92,5744,0,0,1,1175.420933,0,0,0.174094708,0.174094708,0,0,0.204634564,0.204634564
SHEF-BFDCD,N,488676,93,10988,2058,782,90,2248.524585,187.2952312,71.16854751,8.190753549,266.6545322,421.1379319,160.0242287,18.41711072,599.5792713
SHEF-BFDCD,N*,488676,95|96,4860,0,0,3,994.5239791,0,0,1.203655679,1.203655679,0,0,0.613903691,0.613903691
SHEF-BFDCD,ORF10,488676,97|98,8209,0,0,13,1679.845133,0,0,5.85449788,5.85449788,0,0,2.660249327,2.660249327
SHEF-BFDEB,ORF1a,484078,1|2,6564,4232,1425,114,1355.979821,29546.54472,9958.197697,790.3655292,40295.10794,874.2392755,294.3740472,23.54992377,1192.163246
SHEF-BFDEB,S,484078,71|72,9121,75,32,3,1884.20048,19.9044586,8.492569002,0.717596697,29.1146243,15.4933709,6.610504919,0.619734836,22.72361066
SHEF-BFDEB,ORF3a,484078,84|85,7471,2,1,3,1543.34632,0.53719139,0.253100481,0.852272727,1.642564598,0.413156557,0.206578279,0.619734836,1.239469672
SHEF-BFDEB,E,484078,86|87|88,13217,16,11,162,2730.34511,2.823861631,1.978224099,28.80121086,33.60329659,3.305252459,2.272361066,33.46568115,39.04329468
SHEF-BFDEB,M,484078,87|88,10354,169,50,4,2138.911498,29.82703848,8.824567596,0.742784636,39.39439071,34.9117291,10.32891394,0.826313115,46.06695615
SHEF-BFDEB,ORF6,484078,89|90,4684,32,8,2,967.6126575,15.75271884,3.824307352,0.880161932,20.45718813,6.610504919,1.65262623,0.413156557,8.676287706
