sample,reads,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-C9953,200000,ORF7a,235651,91,376,1,0,1,159.557990418033,2.65957446808511,0,2.65957446808511,5.31914893617021,0.42435635749477,0,0.42435635749477,0.84871271498954
SHEF-C9953,200000,ORF8,235651,92|93,3392,0,1,2,1439.41676462226,0,1.03092783505155,1.44380975082364,2.47473758587518,0,0.42435635749477,0.84871271498954,1.27306907248431
SHEF-C9953,200000,N,235651,93|94,3318,126,84,8,1408.01439416765,52.7263109000826,36.0884599504542,3.30305532617671,92.1178261767135,53.468901044341,35.6459340295607,3.39485085995816,92.5096859338598
SHEF-C9953,200000,N*,235651,95,893,0,0,2,378.950227242829,0,0,2.23964165733483,2.23964165733483,0,0,0.84871271498954,0.84871271498954
SHEF-C9953,200000,ORF10,235651,97|98,1569,0,0,7,665.815124909294,0,0,16.5894930786201,16.5894930786201,0,0,2.97049450246339,2.97049450246339
SHEF-C9953,500000,ORF1a,588787,1|2|3|4,16892,4587,2203,244,2868.94921253356,13918.9391146281,6672.27360265138,747.839297730763,21339.0520150103,779.059320263525,374.15907620243,41.4411323619577,1194.65952882791
SHEF-C9953,500000,S,588787,71|72|73,10421,106,62,10,1769.91000140968,53.4924853097317,31.6986078359181,5.86510263929619,91.056195784946,18.0031148785554,10.5301237968909,1.69840706401466,30.231645739461
SHEF-C9953,500000,ORF3a,588787,84|85,10676,0,2,11,1813.21938154205,0,0.412371134020619,2.23350002300388,2.6458711570245,0,0.339681412802932,1.86824777041613,2.20792918321906
SHEF-C9953,500000,E,588787,86|87|88,13243,26,9,99,2249.20047487461,11.4487010127697,3.96301188903567,42.8305225610023,58.2422354628077,4.41585836643812,1.52856635761319,16.8142299337451,22.7586546577965
SHEF-C9953,500000,M,588787,87|88|89,14656,416,191,19,2489.18539301989,175.380545417368,79.5573723166536,7.29658274728628,262.234500481308,70.6537338630099,32.43957492268,3.22697342162786,106.320282207318
SHEF-C9953,500000,ORF6,588787,89|90,11093,100,46,9,1884.04295611146,16.2161066559035,7.11089269374577,1.43455557274775,24.761554922397,16.9840706401466,7.81267249446744,1.52856635761319,26.3253094922272
SHEF-C9953,500000,ORF7a,588787,91,1016,3,2,1,172.55815770389,2.95275590551181,1.96850393700787,0.984251968503937,5.90551181102362,0.509522119204398,0.339681412802932,0.169840706401466,1.0190442384088
SHEF-C9953,500000,ORF8,588787,92|93,8556,0,1,6,1453.15708397094,0,0.3813882532418,1.43685807035283,1.81824632359463,0,0.169840706401466,1.0190442384088,1.18888494481026
SHEF-C9953,500000,N,588787,93|94,8194,332,180,19,1391.67474825361,58.4143871673959,31.4295003146708,3.47584491351772,93.3197323955845,56.3871145252867,30.5713271522639,3.22697342162785,90.1854150991785
SHEF-C9953,500000,N*,588787,95,2206,0,0,5,374.668598321634,0,0,2.26654578422484,2.26654578422484,0,0,0.84920353200733,0.84920353200733
SHEF-C9953,500000,ORF10,588787,97|98,3911,0,0,9,664.247002736134,0,0,9.38216297152675,9.38216297152675,0,0,1.52856635761319,1.52856635761319
SHEF-C9953,50000,ORF1a,58857,1|2,554,513,200,24,941.26442054471,19872.1361058601,7657.01323251418,960,28489.1493383743,871.604057291401,339.806650016141,40.7767980019369,1252.18750530948
SHEF-C9953,50000,S,58857,71|72,787,8,6,0,1337.13916781351,37.5536881419234,26.125116713352,0,63.6788048552754,13.5922660006456,10.1941995004842,0,23.7864655011299
SHEF-C9953,50000,ORF3a,58857,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,50000,E,58857,87,226,6,0,11,383.981514518239,26.5486725663717,0,48.6725663716814,75.2212389380531,10.1941995004842,0,18.6893657508877,28.883565251372
SHEF-C9953,50000,M,58857,87|88,793,49,28,2,1347.333367314,211.491938630582,113.249363986827,8.84955752212389,333.590860139533,83.2526292539545,47.5729310022597,3.39806650016141,134.223626756376
